Epoch [11/1000], Train Loss: 8.9063, Val Loss: 8.8901
Epoch [12/1000], Train Loss: 8.8755, Val Loss: 8.8592
Epoch [13/1000], Train Loss: 8.8469, Val Loss: 8.8287
Epoch [14/1000], Train Loss: 8.8185, Val Loss: 8.7988
Epoch [15/1000], Train Loss: 8.7900, Val Loss: 8.7697
Epoch [16/1000], Train Loss: 8.7631, Val Loss: 8.7416
Epoch [17/1000], Train Loss: 8.7369, Val Loss: 8.7147
Epoch [18/1000], Train Loss: 8.7115, Val Loss: 8.6891
Epoch [19/1000], Train Loss: 8.6867, Val Loss: 8.6646
Epoch [20/1000], Train Loss: 8.6645, Val Loss: 8.6413
Epoch [21/1000], Train Loss: 8.6415, Val Loss: 8.6189
Epoch [22/1000], Train Loss: 8.6206, Val Loss: 8.5973
Epoch [23/1000], Train Loss: 8.5997, Val Loss: 8.5763
Epoch [24/1000], Train Loss: 8.5786, Val Loss: 8.5558
Epoch [25/1000], Train Loss: 8.5581, Val Loss: 8.5357
Epoch [26/1000], Train Loss: 8.5385, Val Loss: 8.5159
Epoch [27/1000], Train Loss: 8.5176, Val Loss: 8.4963
Epoch [28/1000], Train Loss: 8.4986, Val Loss: 8.4769
Epoch [29/1000], Train Loss: 8.4792, Val Loss: 8.4576
Epoch [30/1000], Train Loss: 8.4587, Val Loss: 8.4385
Epoch [31/1000], Train Loss: 8.4402, Val Loss: 8.4196
Epoch [32/1000], Train Loss: 8.4205, Val Loss: 8.4007
Epoch [33/1000], Train Loss: 8.4014, Val Loss: 8.3820
Epoch [34/1000], Train Loss: 8.3824, Val Loss: 8.3634
Epoch [35/1000], Train Loss: 8.3630, Val Loss: 8.3449
Epoch [36/1000], Train Loss: 8.3443, Val Loss: 8.3265
Epoch [37/1000], Train Loss: 8.3254, Val Loss: 8.3082
Epoch [38/1000], Train Loss: 8.3066, Val Loss: 8.2901
Epoch [39/1000], Train Loss: 8.2878, Val Loss: 8.2721
Epoch [40/1000], Train Loss: 8.2700, Val Loss: 8.2542
Epoch [41/1000], Train Loss: 8.2519, Val Loss: 8.2365
Epoch [42/1000], Train Loss: 8.2334, Val Loss: 8.2189
Epoch [43/1000], Train Loss: 8.2145, Val Loss: 8.2015
Epoch [44/1000], Train Loss: 8.1974, Val Loss: 8.1842
Epoch [45/1000], Train Loss: 8.1798, Val Loss: 8.1671
Epoch [46/1000], Train Loss: 8.1616, Val Loss: 8.1501
Epoch [47/1000], Train Loss: 8.1451, Val Loss: 8.1334
Epoch [48/1000], Train Loss: 8.1275, Val Loss: 8.1168
Epoch [49/1000], Train Loss: 8.1103, Val Loss: 8.1004
Epoch [50/1000], Train Loss: 8.0940, Val Loss: 8.0842
Epoch [51/1000], Train Loss: 8.0772, Val Loss: 8.0682
Epoch [52/1000], Train Loss: 8.0610, Val Loss: 8.0524
Epoch [53/1000], Train Loss: 8.0452, Val Loss: 8.0369
Epoch [54/1000], Train Loss: 8.0294, Val Loss: 8.0215
