PID,Generated Claim
1,40 students admitted after vaccination in Kanpur
2,Covid-19 vaccine can be used to help improve your skin complexion.
3,The claim: Truckers in states and cities across the U.S. are all backed up
4,Indian Air Force salute Indian army
5,Massive drop in mass shooting deaths when the ban expired.
6,This is genius. whoever did this is genius
7,Says “Says the United States is the first industrialized country in the world without a universal healthcare system.”
8,The claim: Asteroid 2000 or 2 will safely pass Earth by 39 million miles.
9,Says Donald Trump got 74 million registered voters in the U.S.
10,The claim: Former U.S. Sen. Sherrod Brown nominated himself to the Supreme Court
11,Says Sanatani Shloka at the funeral of Queen Elizabeth II
12,A newborn baby has been found in leeds.
13,The claim: Former Prime Minister Jacinda Ardern said farmers are the first generation to suffer from the disease
14,Tornado at the Phillies game last night
15,The new coronavirus is a dry cough with no runny nose.
16,The claim: Buddha died from COVID-19 vaccine
17,The claim: Georgia is the first state in the country to have a COVID-19 vaccine 
18,"Someone played Bharat ka Bachha during an event in Chennai and the crowd went wild.

Rahul Gandhi"
19,"In the second draft of the draft, the section which has been reported on in the media since the publication of the first draft will be clarified to ensure that what is meant is clear."
20,The claim: Former U.S. Sen. Sherrod Brown nominated himself to the Supreme Court
21,Surya namaskar and Gayatri mantra have spread to Japan and are being practised there
22,Testosterone levels have fallen close to 50% in the last two decades.
23,The claim: Victorian Premier Jacinda Ardern banned the use of the term “hostile porn” in her book.
24,Greenwich council are set to remove the lee rigby stone that was laid at the rigby site on friday night now we really need to shame them everyone please share this post as you can see they have already started to dig it out.
25,The best is yet to come
26,"Says Sen. Sherrod Brown “has advised spurious legal attempts to overturn our election."""
27,"From my lockdown room in Paris, China, a 103 year-old grandmother has recovered from Covid-19."
28,The claim: Victorian Prime Minister Jacinda Ardern says he won’t vote for Labour.
29,Police dispatch audio from protests in March 2019 was recorded from a Moscow hotel.
30,Says “2000 people attended an event formed by San Franciscans called themselves the antimask League.”
31,A 105 year old woman was in the news who credited her health and longevity to eating 9 gins a day. Here is the recipe for gin soaked raisins let us make them and do a taste test
32,Covid-19 nasal swabs are positive for COVID-19
33,The claim: Sen. Sherrod Brown said he is not scared of Covid-19 vaccines
34,The claim: There are no COVID-19 vaccines 
35,The claim: Dr. Anthony Fauci died from the Covid-19 vaccine
36,Coimbatore Corporation has introduced toilet wow but no doors.
37,The claim: Donald Trump never made this statement or a statement similar to it on any of the dates listed in posts that make the claim.
38,"Says ""Attorney General Garland is weaponizing the Doj by using the Fbi to pursue concerned parents and silence them through intimidation.”"
