PID,Generated Claim
1,40 students admitted after vaccination in Kanpur
2,The claim: The LNP allowed the 2 LNP families to get off the death ship
3,Truckers who refuse the jab have refused to drive into mandate states and cities. This is why the ports rail and warehouses are all backed up.
4,Indian Air Force salute Indian Army
5,The National Institute of Health has released a new assault weapons ban and the limit on high-capacity magazines.
6,The claim: Who did this is genius
7,Says “Sads are a sabot for the sabotaged.”
8,A daily_express article implying there is a warning about this asteroid is false. A complete listing of all asteroid passes is always public at carry on
9,The claim: The U.S. has only 133 million registered voters
10,"“In light of these two events, I will support President RealdonaldTrump in any effort to move forward regarding the recent vacancy created by the passing of Justice Ginburg 3.”"
11,The claim: Anatani Shloka was recited at the funeral of Queen Elizabeth of Britain
12,A newborn baby has been found in Leeds by police.
13,The Department for Food and Rural Affairs (Defra) said that farmers should be able to get their crops sorted out in the air.
14,The claim: A tornado at the Phillies game last night
15,A Chinese doctor has written a note on coronavirus
16,The claim: A Buddhist monk was born in 1821
17,112th school fees 55 years college fees pg clg fees social security fees please refund all this fees first then no doctor would mind giving free treatment to their patients.
18,Someone played Bharat Ka Bachha Baccha during an event in Christ University and the crowd went wild Jaishriram
19,The claim: The first draft of the'second draft' will be clarified to ensure that the meaning of the 'clear' section is clear
20,"“In light of these two events, I will support President RealdonaldTrump in any effort to move forward regarding the recent vacancy created by the passing of Justice Ginburg 3.”"
21,Surya Namaskar and Gayatri mantra have spread to Japan and are being practised there.
22,A man who has roughly the same testosterone levels as a 67-year-old has in the year 2000 has dropped close to 50 in the last 2 decades
23,The claim: The old tribe is censorship
24,Greenwich council are set to remove the Lee rigby stone that was laid at the rigby site on Friday night. Now we really need to shame them. Please share this post as you can see they have already started to dig it out.
25,The best is yet to come
26,Senator Lee advised spurious legal attempts to overturn our election kept quiet about the scheme to sabotage our democracy and defended Jan. 6.
27,China has closed down its last coronavirus hospital. Not enough new cases to support them.
28,“Ian Austin 1 year as a junior minister at DLC says he will not vote for Labour Walltowall coverage.”
29,The claim: Police officers were protesting peaceful protests this weekend
30,The claim: The anti-mask league denounced the mandatory masking ordinance
31,A woman who ate 9 gin-soaked raisins a day has been given the chance to get a cure.
32,"""Fox has been vaccinated for a long time."""
33,Av age 825 years and these mentalist fucks think you 5yr old needs a jab
34,Fact Check fck off partly falsebullshitters know full fact check.. We are referring to the test and trace lies and you will put my posts lower down haha censorship at its finest.Financially funded by government themselves with our money
35,"The main stream media do not lie, do they ever they are your friend and where people suck down all their information and knowledge about the world from instead of going out and looking and finding it themselves."
36,Coimbatore corporation has introduced couples toilet wow but no doors cmotamilnadu
37,The claim: Trump made a statement similar to a rally in his speech
38,"“As a result of the Defendant Act, the Defendant has a right to slap the Defendant Party in the Senate.”"
39,The claim: The UK hasn’t received vaccines since 2001
40,"""Joe Biden has sent absentee ballot applications to 77 million people ahead of the primaries and general election."""
41,The public thrashed him badly and blackened his face.
42,The claim: Covid-19 is a fatal condition
43,The claim: A British agent was compelled to take a oath in the name of Queen
44,"A fake amul butter is being made in a illegal factory in Jahangir Puri, Delhi."
45,People are starting to enter ER with fungal lung infections from wearing masks. Take breaks from your masks.
46,Says Naintindihan ba ng dswd ito
47,"The claim: How many vaccines have been exported from the following 0 0 416 million, the largest recipient by far of which is 10 million. But guess who gets accused of outrageous vaccine nationalalism and behaving like a dictatorship about vaccines raab"
48,More details on the resettlement of vulnerable refugees will be set out in time for the resettlement of refugees.
